name,address,building,built_year,floor_number,detail
落合ビル,東京都新宿区榎町,"{0: 'ＪＲ中央線/飯田橋駅 歩20分', 1: '東京メトロ東西線/神楽坂駅 歩7分', 2: '都営大江戸線/牛込神楽坂駅 歩10分'}",築46年,4階建,"{0: {'floor': '4階', 'rent-fee': '5.5万円', 'manage-fee': '-', 'other-fee': '-/-/-/-', 'room-shape': '1K', 'room-size': '22m'}}"
建部アパートＣ棟,東京都八王子市中野上町２,"{0: 'ＪＲ中央線/八王子駅 バス15分 (バス停)中野上町郵便局 歩5分', 1: '京王線/京王八王子駅 バス17分 (バス停)中野上町郵便局 歩5分', 2: None}",築46年,2階建,"{0: {'floor': '2階', 'rent-fee': '2.8万円', 'manage-fee': '2000円', 'other-fee': '-/-/-/-', 'room-shape': '1K', 'room-size': '19.25m'}}"
メゾンカムイ,東京都八王子市緑町,"{0: 'ＪＲ横浜線/片倉駅 歩19分', 1: 'ＪＲ横浜線/八王子駅 歩17分', 2: '京王高尾線/京王片倉駅 歩8分'}",築45年,2階建,"{0: {'floor': '2階', 'rent-fee': '4.2万円', 'manage-fee': '1000円', 'other-fee': '-/-/-/-', 'room-shape': '1K', 'room-size': '19.81m'}}"
第２栄荘,東京都葛飾区東新小岩８,"{0: 'ＪＲ総武線/新小岩駅 歩15分', 1: 'ＪＲ総武線快速/新小岩駅 歩15分', 2: '京成押上線/京成立石駅 歩27分'}",築49年,2階建,"{0: {'floor': '2階', 'rent-fee': '5.37万円', 'manage-fee': '-', 'other-fee': '-/-/-/-', 'room-shape': '1K', 'room-size': '19.44m'}}"
メゾン・ド・WAFU,東京都国立市西１,"{0: 'ＪＲ中央線/国立駅 歩15分', 1: 'ＪＲ南武線/西国立駅 歩14分', 2: 'ＪＲ南武線/矢川駅 歩20分'}",築50年,2階建,"{0: {'floor': '2階', 'rent-fee': '6万円', 'manage-fee': '-', 'other-fee': '-/-/-/-', 'room-shape': 'ワンルーム', 'room-size': '19.85m'}}"
古坂荘B棟,東京都江戸川区船堀７,"{0: '都営新宿線/船堀駅 歩11分', 1: '都営新宿線/一之江駅 歩20分', 2: '東京メトロ東西線/葛西駅 歩20分'}",築53年,2階建,"{0: {'floor': '2階', 'rent-fee': '3万円', 'manage-fee': '-', 'other-fee': '-/-/-/-', 'room-shape': 'ワンルーム', 'room-size': '14.94m'}}"
ＪＲ中央線 吉祥寺駅 5階建 築56年,東京都武蔵野市吉祥寺北町１,"{0: 'ＪＲ中央線/吉祥寺駅 歩8分', 1: '京王井の頭線/井の頭公園駅 歩19分', 2: 'ＪＲ中央線/西荻窪駅 歩29分'}",築56年,5階建,"{0: {'floor': '3階', 'rent-fee': '7.8万円', 'manage-fee': '-', 'other-fee': '-/-/-/-', 'room-shape': '1DK', 'room-size': '30m'}}"
東武東上線 上板橋駅 3階建 築54年,東京都板橋区中台１,"{0: '東武東上線/上板橋駅 歩10分', 1: '都営三田線/志村三丁目駅 歩18分', 2: '東武東上線/ときわ台駅 歩20分'}",築54年,3階建,"{0: {'floor': '2階', 'rent-fee': '4.5万円', 'manage-fee': '-', 'other-fee': '-/-/-/-', 'room-shape': 'ワンルーム', 'room-size': '18m'}}"
西武池袋線 大泉学園駅 2階建 築57年,東京都練馬区東大泉６,"{0: '西武池袋線/大泉学園駅 歩6分', 1: '西武池袋線/保谷駅 歩18分', 2: None}",築57年,2階建,"{0: {'floor': '2階', 'rent-fee': '4.3万円', 'manage-fee': '-', 'other-fee': '-/-/-/-', 'room-shape': '1K', 'room-size': '18.63m'}}"
コーポ緑ヶ丘,東京都羽村市緑ヶ丘３,"{0: 'ＪＲ青梅線/羽村駅 歩23分', 1: 'ＪＲ八高線/箱根ヶ崎駅 歩27分', 2: 'ＪＲ青梅線/小作駅 歩41分'}",築39年,2階建,"{0: {'floor': '1階', 'rent-fee': '4.9万円', 'manage-fee': '-', 'other-fee': '-/-/-/-', 'room-shape': '1DK', 'room-size': '34.68m'}}"
建部アパートＡ棟,東京都八王子市中野上町２,"{0: 'ＪＲ中央線/八王子駅 バス15分 (バス停)中野上町郵便局 歩5分', 1: '京王線/京王八王子駅 バス17分 (バス停)中野上町郵便局 歩5分', 2: None}",築44年,3階建,"{0: {'floor': '2階', 'rent-fee': '2.1万円', 'manage-fee': '2000円', 'other-fee': '-/-/-/-', 'room-shape': 'ワンルーム', 'room-size': '10.37m'}}"
シャト－亀戸,東京都江東区亀戸７,"{0: '東武亀戸線/亀戸水神駅 歩7分', 1: 'ＪＲ総武線/亀戸駅 歩14分', 2: '都営新宿線/大島駅 歩14分'}",築55年,2階建,"{0: {'floor': '2階', 'rent-fee': '3.5万円', 'manage-fee': '5000円', 'other-fee': '-/-/-/-', 'room-shape': 'ワンルーム', 'room-size': '10.5m'}}"
ＪＲ山手線 新宿駅 4階建 築36年,東京都渋谷区本町５,"{0: 'ＪＲ山手線/新宿駅 歩28分', 1: '都営大江戸線/西新宿五丁目駅 歩10分', 2: '東京メトロ丸ノ内線/中野坂上駅 歩20分'}",築36年,4階建,"{0: {'floor': '2階', 'rent-fee': '5.5万円', 'manage-fee': '5000円', 'other-fee': '-/-/-/-', 'room-shape': 'ワンルーム', 'room-size': '14.69m'}}"
宮下荘,東京都西東京市北町５,"{0: '西武池袋線/保谷駅 歩17分', 1: '西武池袋線/ひばりヶ丘駅 歩39分', 2: '西武池袋線/大泉学園駅 歩34分'}",築46年,2階建,"{0: {'floor': '2階', 'rent-fee': '2.5万円', 'manage-fee': '-', 'other-fee': '-/-/-/-', 'room-shape': 'ワンルーム', 'room-size': '11.55m'}}"
